Data item name,Description,Form name,Theme,Theme_count,Theme_group
RO2_transpln_hghwys_mnt_net_cur_exp,"NET current expenditure - Highways maintenance planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_empl,"Employees - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_run_exp,"Running expenses - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_tot_exp,"Total expenditure - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_sfc,"Sales, Fees and Charges - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_oth_inc,"Other income - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_tot_inc,"Total income - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transpln_pub_oth_net_cur_exp,"NET current expenditure - Public and other transport planning, policy and strategy",RO2,transpln,14,Transport
RO2_transrdsmnt_prn_rds_empl,Employees - Structural maintenance - principal roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_prn_rds_run_exp,Running expenses - Structural maintenance - principal roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_prn_rds_tot_exp,Total expenditure - Structural maintenance - principal roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_prn_rds_sfc,"Sales, Fees and Charges - Structural maintenance - principal roads",RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_prn_rds_oth_inc,Other income - Structural maintenance - principal roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_prn_rds_tot_inc,Total income - Structural maintenance - principal roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_prn_rds_net_cur_exp,NET current expenditure - Structural maintenance - principal roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_empl,Employees - Structural maintenance - other LA roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_run_exp,Running expenses - Structural maintenance - other LA roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_tot_exp,Total expenditure - Structural maintenance - other LA roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_sfc,"Sales, Fees and Charges - Structural maintenance - other LA roads",RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_oth_inc,Other income - Structural maintenance - other LA roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_tot_inc,Total income - Structural maintenance - other LA roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_oth_rds_net_cur_exp,NET current expenditure - Structural maintenance - other LA roads,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_empl,Employees - Structural maintenance - bridges,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_run_exp,Running expenses - Structural maintenance - bridges,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_tot_exp,Total expenditure - Structural maintenance - bridges,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_sfc,"Sales, Fees and Charges - Structural maintenance - bridges",RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_oth_inc,Other income - Structural maintenance - bridges,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_tot_inc,Total income - Structural maintenance - bridges,RO2,transrdsmnt,21,Transport
RO2_transrdsmnt_brd_net_cur_exp,NET current expenditure - Structural maintenance - bridges,RO2,transrdsmnt,21,Transport
RO2_transrdsenv_prn_rds_empl,"Employees - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_prn_rds_run_exp,"Running expenses - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_prn_rds_tot_exp,"Total expenditure - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_prn_rds_sfc,"Sales, Fees and Charges - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_prn_rds_oth_inc,"Other income - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_prn_rds_tot_inc,"Total income - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_prn_rds_net_cur_exp,"NET current expenditure - Environmental, safety and routine maintenance - principal roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_empl,"Employees - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_run_exp,"Running expenses - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_tot_exp,"Total expenditure - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_sfc,"Sales, Fees and Charges - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_oth_inc,"Other income - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_tot_inc,"Total income - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdsenv_oth_rds_net_cur_exp,"NET current expenditure - Environmental, safety and routine maintenance - other LA roads",RO2,transrdsenv,14,Transport
RO2_transrdswnt_empl,Employees - Winter service,RO2,transrdswnt,7,Transport
RO2_transrdswnt_run_exp,Running expenses - Winter service,RO2,transrdswnt,7,Transport
RO2_transrdswnt_tot_exp,Total expenditure - Winter service,RO2,transrdswnt,7,Transport
RO2_transrdswnt_sfc,"Sales, Fees and Charges - Winter service",RO2,transrdswnt,7,Transport
RO2_transrdswnt_oth_inc,Other income - Winter service,RO2,transrdswnt,7,Transport
RO2_transrdswnt_tot_inc,Total income - Winter service,RO2,transrdswnt,7,Transport
RO2_transrdswnt_net_cur_exp,NET current expenditure - Winter service,RO2,transrdswnt,7,Transport
RO2_transrdslgh_empl,Employees - Street lighting (including energy costs),RO2,transrdslgh,7,Transport
RO2_transrdslgh_run_exp,Running expenses - Street lighting (including energy costs),RO2,transrdslgh,7,Transport
RO2_transrdslgh_tot_exp,Total expenditure - Street lighting (including energy costs),RO2,transrdslgh,7,Transport
RO2_transrdslgh_sfc,"Sales, Fees and Charges - Street lighting (including energy costs)",RO2,transrdslgh,7,Transport
RO2_transrdslgh_oth_inc,Other income - Street lighting (including energy costs),RO2,transrdslgh,7,Transport
RO2_transrdslgh_tot_inc,Total income - Street lighting (including energy costs),RO2,transrdslgh,7,Transport
RO2_transrdslgh_net_cur_exp,NET current expenditure - Street lighting (including energy costs),RO2,transrdslgh,7,Transport
RO2_transrdstrfcng_empl,Employees - Congestion charging,RO2,transrdstrfcng,7,Transport
RO2_transrdstrfcng_run_exp,Running expenses - Congestion charging,RO2,transrdstrfcng,7,Transport
RO2_transrdstrfcng_tot_exp,Total expenditure - Congestion charging,RO2,transrdstrfcng,7,Transport
RO2_transrdstrfcng_sfc,"Sales, Fees and Charges - Congestion charging",RO2,transrdstrfcng,7,Transport
RO2_transrdstrfcng_oth_inc,Other income - Congestion charging,RO2,transrdstrfcng,7,Transport
RO2_transrdstrfcng_tot_inc,Total income - Congestion charging,RO2,transrdstrfcng,7,Transport
RO2_transrdstrfcng_net_cur_exp,NET current expenditure - Congestion charging,RO2,transrdstrfcng,7,Transport
RO2_transrdstrfbs_empl,Employees - Bus lane enforcement,RO2,transrdstrfbs,7,Transport
RO2_transrdstrfbs_run_exp,Running expenses - Bus lane enforcement,RO2,transrdstrfbs,7,Transport
RO2_transrdstrfbs_tot_exp,Total expenditure - Bus lane enforcement,RO2,transrdstrfbs,7,Transport
RO2_transrdstrfbs_sfc,"Sales, Fees and Charges - Bus lane enforcement",RO2,transrdstrfbs,7,Transport
RO2_transrdstrfbs_oth_inc,Other income - Bus lane enforcement,RO2,transrdstrfbs,7,Transport
RO2_transrdstrfbs_tot_inc,Total income - Bus lane enforcement,RO2,transrdstrfbs,7,Transport
RO2_transrdstrfbs_net_cur_exp,NET current expenditure - Bus lane enforcement,RO2,transrdstrfbs,7,Transport
RO2_transrdstrfsft_empl,Employees - Road safety education and safe routes (including school crossing patrols),RO2,transrdstrfsft,7,Transport
RO2_transrdstrfsft_run_exp,Running expenses - Road safety education and safe routes (including school crossing patrols),RO2,transrdstrfsft,7,Transport
RO2_transrdstrfsft_tot_exp,Total expenditure - Road safety education and safe routes (including school crossing patrols),RO2,transrdstrfsft,7,Transport
RO2_transrdstrfsft_sfc,"Sales, Fees and Charges - Road safety education and safe routes (including school crossing patrols)",RO2,transrdstrfsft,7,Transport
RO2_transrdstrfsft_oth_inc,Other income - Road safety education and safe routes (including school crossing patrols),RO2,transrdstrfsft,7,Transport
RO2_transrdstrfsft_tot_inc,Total income - Road safety education and safe routes (including school crossing patrols),RO2,transrdstrfsft,7,Transport
RO2_transrdstrfsft_net_cur_exp,NET current expenditure - Road safety education and safe routes (including school crossing patrols),RO2,transrdstrfsft,7,Transport
RO2_transrdstrfoth_empl,Employees - Other traffic management,RO2,transrdstrfoth,7,Transport
RO2_transrdstrfoth_run_exp,Running expenses - Other traffic management,RO2,transrdstrfoth,7,Transport
RO2_transrdstrfoth_tot_exp,Total expenditure - Other traffic management,RO2,transrdstrfoth,7,Transport
RO2_transrdstrfoth_sfc,"Sales, Fees and Charges - Other traffic management",RO2,transrdstrfoth,7,Transport
RO2_transrdstrfoth_oth_inc,Other income - Other traffic management,RO2,transrdstrfoth,7,Transport
RO2_transrdstrfoth_tot_inc,Total income - Other traffic management,RO2,transrdstrfoth,7,Transport
RO2_transrdstrfoth_net_cur_exp,NET current expenditure - Other traffic management,RO2,transrdstrfoth,7,Transport
RO2_transprk_on_str_prk_empl,Employees - On-street parking,RO2,transprk,14,Transport
RO2_transprk_on_str_prk_run_exp,Running expenses - On-street parking,RO2,transprk,14,Transport
RO2_transprk_on_str_prk_tot_exp,Total expenditure - On-street parking,RO2,transprk,14,Transport
RO2_transprk_on_str_prk_sfc,"Sales, Fees and Charges - On-street parking",RO2,transprk,14,Transport
RO2_transprk_on_str_prk_oth_inc,Other income - On-street parking,RO2,transprk,14,Transport
RO2_transprk_on_str_prk_tot_inc,Total income - On-street parking,RO2,transprk,14,Transport
RO2_transprk_on_str_prk_net_cur_exp,NET current expenditure - On-street parking,RO2,transprk,14,Transport
RO2_transprk_off_str_prk_empl,Employees - Off-street parking,RO2,transprk,14,Transport
RO2_transprk_off_str_prk_run_exp,Running expenses - Off-street parking,RO2,transprk,14,Transport
RO2_transprk_off_str_prk_tot_exp,Total expenditure - Off-street parking,RO2,transprk,14,Transport
RO2_transprk_off_str_prk_sfc,"Sales, Fees and Charges - Off-street parking",RO2,transprk,14,Transport
RO2_transprk_off_str_prk_oth_inc,Other income - Off-street parking,RO2,transprk,14,Transport
RO2_transprk_off_str_prk_tot_inc,Total income - Off-street parking,RO2,transprk,14,Transport
RO2_transprk_off_str_prk_net_cur_exp,NET current expenditure - Off-street parking,RO2,transprk,14,Transport
RO2_transpblstt_empl,Employees - Statutory concessionary fares,RO2,transpblstt,7,Transport
RO2_transpblstt_run_exp,Running expenses - Statutory concessionary fares,RO2,transpblstt,7,Transport
RO2_transpblstt_tot_exp,Total expenditure - Statutory concessionary fares,RO2,transpblstt,7,Transport
RO2_transpblstt_sfc,"Sales, Fees and Charges - Statutory concessionary fares",RO2,transpblstt,7,Transport
RO2_transpblstt_oth_inc,Other income - Statutory concessionary fares,RO2,transpblstt,7,Transport
RO2_transpblstt_tot_inc,Total income - Statutory concessionary fares,RO2,transpblstt,7,Transport
RO2_transpblstt_net_cur_exp,NET current expenditure - Statutory concessionary fares,RO2,transpblstt,7,Transport
RO2_transpbldsc_empl,Employees - Discretionary concessionary fares,RO2,transpbldsc,7,Transport
RO2_transpbldsc_run_exp,Running expenses - Discretionary concessionary fares,RO2,transpbldsc,7,Transport
RO2_transpbldsc_tot_exp,Total expenditure - Discretionary concessionary fares,RO2,transpbldsc,7,Transport
RO2_transpbldsc_sfc,"Sales, Fees and Charges - Discretionary concessionary fares",RO2,transpbldsc,7,Transport
RO2_transpbldsc_oth_inc,Other income - Discretionary concessionary fares,RO2,transpbldsc,7,Transport
RO2_transpbldsc_tot_inc,Total income - Discretionary concessionary fares,RO2,transpbldsc,7,Transport
RO2_transpbldsc_net_cur_exp,NET current expenditure - Discretionary concessionary fares,RO2,transpbldsc,7,Transport
RO2_transpblopr_bus_empl,Employees - Support to operators - bus services,RO2,transpblopr,21,Transport
RO2_transpblopr_bus_run_exp,Running expenses - Support to operators - bus services,RO2,transpblopr,21,Transport
RO2_transpblopr_bus_tot_exp,Total expenditure - Support to operators - bus services,RO2,transpblopr,21,Transport
RO2_transpblopr_bus_sfc,"Sales, Fees and Charges - Support to operators - bus services",RO2,transpblopr,21,Transport
RO2_transpblopr_bus_oth_inc,Other income - Support to operators - bus services,RO2,transpblopr,21,Transport
RO2_transpblopr_bus_tot_inc,Total income - Support to operators - bus services,RO2,transpblopr,21,Transport
RO2_transpblopr_bus_net_cur_exp,NET current expenditure - Support to operators - bus services,RO2,transpblopr,21,Transport
RO2_transpblopr_rail_empl,Employees - Support to operators - rail services,RO2,transpblopr,21,Transport
RO2_transpblopr_rail_run_exp,Running expenses - Support to operators - rail services,RO2,transpblopr,21,Transport
